person,year_month,screen_time_seconds
adam schiff,2010-01,411
adam schiff,2010-02,153
adam schiff,2010-03,24
adam schiff,2010-04,36
adam schiff,2010-05,30
adam schiff,2010-06,45
adam schiff,2010-07,261
adam schiff,2010-08,12
adam schiff,2010-09,24
adam schiff,2010-10,144
adam schiff,2010-11,9
adam schiff,2010-12,102
adam schiff,2011-01,153
adam schiff,2011-02,756
adam schiff,2011-03,735
adam schiff,2011-04,21
adam schiff,2011-05,1074
adam schiff,2011-06,93
adam schiff,2011-07,591
adam schiff,2011-08,243
adam schiff,2011-09,207
adam schiff,2011-10,282
adam schiff,2011-11,285
adam schiff,2011-12,8
adam schiff,2012-01,267
adam schiff,2012-02,21
adam schiff,2012-03,21
adam schiff,2012-04,33
adam schiff,2012-05,282
adam schiff,2012-06,2185
adam schiff,2012-07,84
adam schiff,2012-08,36
adam schiff,2012-09,306
adam schiff,2012-10,256
adam schiff,2012-11,6526
adam schiff,2012-12,1905
adam schiff,2013-01,1746
adam schiff,2013-02,3165
adam schiff,2013-03,2304
adam schiff,2013-04,5017
adam schiff,2013-05,3805
adam schiff,2013-06,1727
adam schiff,2013-07,651
adam schiff,2013-08,5382
adam schiff,2013-09,2934
adam schiff,2013-10,3059
adam schiff,2013-11,2261
adam schiff,2013-12,3334
adam schiff,2014-01,2285
adam schiff,2014-02,2533
adam schiff,2014-03,2211
adam schiff,2014-04,1494
adam schiff,2014-05,4923
adam schiff,2014-06,2136
adam schiff,2014-07,2973
adam schiff,2014-08,4907
adam schiff,2014-09,6625
adam schiff,2014-10,1503
adam schiff,2014-11,2640
adam schiff,2014-12,1665
adam schiff,2015-01,4283
adam schiff,2015-02,6174
adam schiff,2015-03,3692
adam schiff,2015-04,2849
adam schiff,2015-05,1892
adam schiff,2015-06,3424
adam schiff,2015-07,2541
adam schiff,2015-08,1813
adam schiff,2015-09,1429
adam schiff,2015-10,12251
adam schiff,2015-11,3776
adam schiff,2015-12,6331
adam schiff,2016-01,1236
adam schiff,2016-02,327
adam schiff,2016-03,1957
adam schiff,2016-04,970
adam schiff,2016-05,3217
adam schiff,2016-06,6116
adam schiff,2016-07,2130
adam schiff,2016-08,996
adam schiff,2016-09,3765
adam schiff,2016-10,3974
adam schiff,2016-11,6018
adam schiff,2016-12,8404
adam schiff,2017-01,8028
adam schiff,2017-02,13307
adam schiff,2017-03,45683
adam schiff,2017-04,11903
adam schiff,2017-05,13549
adam schiff,2017-06,14211
adam schiff,2017-07,12067
adam schiff,2017-08,4025
adam schiff,2017-09,6415
adam schiff,2017-10,7764
adam schiff,2017-11,5435
adam schiff,2017-12,12250
adam schiff,2018-01,22075
adam schiff,2018-02,28444
adam schiff,2018-03,12074
adam schiff,2018-04,6600
adam schiff,2018-05,11019
adam schiff,2018-06,7114
adam schiff,2018-07,12390
adam schiff,2018-08,2949
adam schiff,2018-09,9956
adam schiff,2018-10,5073
adam schiff,2018-11,12328
adam schiff,2018-12,6428
adam schiff,2019-01,11778
adam schiff,2019-02,15326
adam schiff,2019-03,31649
adam schiff,2019-04,17822
adam schiff,2019-05,16600
adam schiff,2019-06,11388
adam schiff,2019-07,16307
adam schiff,2019-08,2293
adam schiff,2019-09,39422
adam schiff,2019-10,41872
adam schiff,2019-11,118162
adam schiff,2019-12,37468
adam schiff,2020-01,160992
adam schiff,2020-02,10569
adam schiff,2020-03,1586
adam schiff,2020-04,5100
adam schiff,2020-05,8711
adam schiff,2020-06,6201
adam schiff,2020-07,7083
ainsley earhardt,2010-01,409
ainsley earhardt,2010-02,832
ainsley earhardt,2010-03,1177
ainsley earhardt,2010-04,834
ainsley earhardt,2010-05,2919
ainsley earhardt,2010-06,205
ainsley earhardt,2010-07,1404
ainsley earhardt,2010-08,1105
ainsley earhardt,2010-09,1542
ainsley earhardt,2010-10,1698
ainsley earhardt,2010-11,3035
ainsley earhardt,2010-12,2218
ainsley earhardt,2011-01,445
ainsley earhardt,2011-02,1425
ainsley earhardt,2011-03,2039
ainsley earhardt,2011-04,1001
ainsley earhardt,2011-05,3804
ainsley earhardt,2011-06,3345
ainsley earhardt,2011-07,3202
ainsley earhardt,2011-08,1820
ainsley earhardt,2011-09,591
ainsley earhardt,2011-10,1298
ainsley earhardt,2011-11,535
ainsley earhardt,2011-12,3638
ainsley earhardt,2012-01,1119
ainsley earhardt,2012-02,560
ainsley earhardt,2012-03,3466
ainsley earhardt,2012-04,3003
ainsley earhardt,2012-05,3329
ainsley earhardt,2012-06,2326
ainsley earhardt,2012-07,3591
ainsley earhardt,2012-08,5688
ainsley earhardt,2012-09,3182
ainsley earhardt,2012-10,1753
ainsley earhardt,2012-11,3884
ainsley earhardt,2012-12,4355
ainsley earhardt,2013-01,3308
ainsley earhardt,2013-02,1939
ainsley earhardt,2013-03,4519
ainsley earhardt,2013-04,1475
ainsley earhardt,2013-05,3052
ainsley earhardt,2013-06,1861
ainsley earhardt,2013-07,5912
ainsley earhardt,2013-08,6905
ainsley earhardt,2013-09,3742
ainsley earhardt,2013-10,9099
ainsley earhardt,2013-11,5738
ainsley earhardt,2013-12,6914
ainsley earhardt,2014-01,7972
ainsley earhardt,2014-02,7368
ainsley earhardt,2014-03,5792
ainsley earhardt,2014-04,10320
ainsley earhardt,2014-05,6677
ainsley earhardt,2014-06,7647
ainsley earhardt,2014-07,8784
ainsley earhardt,2014-08,7011
ainsley earhardt,2014-09,7149
ainsley earhardt,2014-10,8708
ainsley earhardt,2014-11,9602
ainsley earhardt,2014-12,7056
ainsley earhardt,2015-01,4453
ainsley earhardt,2015-02,6413
ainsley earhardt,2015-03,6911
ainsley earhardt,2015-04,6744
ainsley earhardt,2015-05,5820
ainsley earhardt,2015-06,5731
ainsley earhardt,2015-07,5899
ainsley earhardt,2015-08,5277
ainsley earhardt,2015-09,5786
ainsley earhardt,2015-10,4362
ainsley earhardt,2015-11,323
ainsley earhardt,2015-12,327
ainsley earhardt,2016-01,192
ainsley earhardt,2016-02,829
ainsley earhardt,2016-03,9170
ainsley earhardt,2016-04,5618
ainsley earhardt,2016-05,8995
ainsley earhardt,2016-06,8109
ainsley earhardt,2016-07,4775
ainsley earhardt,2016-08,7924
ainsley earhardt,2016-09,7240
ainsley earhardt,2016-10,8840
ainsley earhardt,2016-11,8950
ainsley earhardt,2016-12,6907
ainsley earhardt,2017-01,10001
ainsley earhardt,2017-02,7555
ainsley earhardt,2017-03,11181
ainsley earhardt,2017-04,9107
ainsley earhardt,2017-05,9352
ainsley earhardt,2017-06,8494
ainsley earhardt,2017-07,6975
ainsley earhardt,2017-08,5673
ainsley earhardt,2017-09,5221
ainsley earhardt,2017-10,9472
ainsley earhardt,2017-11,8458
ainsley earhardt,2017-12,13171
ainsley earhardt,2018-01,12267
ainsley earhardt,2018-02,6565
ainsley earhardt,2018-03,14084
ainsley earhardt,2018-04,16168
ainsley earhardt,2018-05,15837
ainsley earhardt,2018-06,13082
ainsley earhardt,2018-07,14827
ainsley earhardt,2018-08,16268
ainsley earhardt,2018-09,9142
ainsley earhardt,2018-10,15212
ainsley earhardt,2018-11,11786
ainsley earhardt,2018-12,10452
