name,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07
adam schiff,411,153,24,36,30,45,261,12,24,144,9,102,153,756,735,21,1074,93,591,243,207,282,285,8,267,21,21,33,282,2185,84,36,306,256,6526,1905,1746,3165,2304,5017,3805,1727,651,5382,2934,3059,2261,3334,2285,2533,2211,1494,4923,2136,2973,4907,6625,1503,2640,1665,4283,6174,3692,2849,1892,3424,2541,1813,1429,12251,3776,6331,1236,327,1957,970,3217,6116,2130,996,3765,3974,6018,8404,8028,13307,45683,11903,13549,14211,12067,4025,6415,7764,5435,12250,22075,28444,12074,6600,11019,7114,12390,2949,9956,5073,12328,6428,11778,15326,31649,17822,16600,11388,16307,2293,39422,41872,118162,37468,160992,10569,1586,5100,8711,6201,7083
ainsley earhardt,409,832,1177,834,2919,205,1404,1105,1542,1698,3035,2218,445,1425,2039,1001,3804,3345,3202,1820,591,1298,535,3638,1119,560,3466,3003,3329,2326,3591,5688,3182,1753,3884,4355,3308,1939,4519,1475,3052,1861,5912,6905,3742,9099,5738,6914,7972,7368,5792,10320,6677,7647,8784,7011,7149,8708,9602,7056,4453,6413,6911,6744,5820,5731,5899,5277,5786,4362,323,327,192,829,9170,5618,8995,8109,4775,7924,7240,8840,8950,6907,10001,7555,11181,9107,9352,8494,6975,5673,5221,9472,8458,13171,12267,6565,14084,16168,15837,13082,14827,16268,9142,15212,11786,10452,19843,17960,13001,17709,22621,14768,18827,16938,11542,18184,12845,11680,16270,5586,25137,43857,42930,39475,21490
al sharpton,4638,2069,3421,8349,1845,216,8077,13096,942,3570,2402,2690,5451,877,1436,4630,242,6696,16402,21719,19418,17430,16540,18338,21883,16939,28610,16969,13294,13976,13324,15833,14530,16555,11661,10738,15300,14425,12850,11956,11898,12673,27438,18495,15283,14033,12960,13159,13518,11746,12083,15456,11925,10351,12424,24469,10129,9648,16232,20876,10215,10217,11866,9960,7383,10280,9316,6124,2062,2478,2199,3980,3103,6237,2828,6882,2972,3508,6923,2767,2857,3102,3292,2147,4744,4000,4037,5483,4211,5170,6161,8275,4261,6193,4874,7049,9042,5863,7826,8569,8214,6980,9808,13837,8309,11127,10933,11133,11048,12649,12551,16320,12610,19964,17771,15184,11265,9135,12545,12246,8958,13266,12185,11006,21172,34393,21076
alex witt,14375,7169,7857,13856,9111,5936,8415,10898,10641,8905,8985,5965,9360,7721,11208,9401,13113,8241,8815,8593,8764,7720,7665,7618,8618,6517,8093,6202,5138,6011,6420,3106,7243,6559,10053,7067,7256,7643,7424,7015,5269,5284,6646,7019,9242,5241,7674,8675,8296,6645,8590,7307,7688,6308,8042,10033,6855,6782,9673,6906,5327,5215,5375,6825,8332,3483,7570,5288,7530,4450,8751,6028,5105,3775,6472,11455,8103,8507,9467,4243,7292,8909,5490,2478,7823,6226,4714,8544,2619,4420,9732,8122,11228,10747,8197,9320,12583,10484,14191,9839,12183,10657,15456,7432,10461,10518,10465,9945,10352,10775,12542,8378,7716,11208,7004,5221,8854,7055,10216,11446,5871,9060,9641,9847,11319,10403,10393
ali velshi,16927,20655,22042,29552,7551,8301,15396,35675,34316,25461,33131,32634,34972,17288,25461,28724,28282,19075,52926,48847,15621,31047,15734,23625,14191,9930,9927,10069,17396,7689,12717,3731,10544,14571,13468,21462,18368,6255,11263,2453,21,0,0,3,6,9,0,18,6,3,0,15,21,51,12,0,3,27,6,24,18,3,3,3,18,36,12,9,84,15,12,238,45,6,6,159,328,3836,15,4062,223,870,9162,8148,7555,17610,15820,17682,16018,26876,35879,34590,30231,17769,33205,34197,27226,35220,25238,39254,16897,24533,47022,44896,20980,37948,30579,29072,32822,31805,39569,35581,29068,33393,26307,42430,26834,22786,30349,26337,36541,31044,42792,28412,33925,32181,43112
alisyn camerota,12847,7207,5957,5169,4656,4470,12701,11470,5879,6792,9130,8307,7865,4648,6502,8135,10286,11472,9111,6390,7818,9042,9892,13489,9900,5271,9292,10004,7037,12151,10052,11488,11996,8530,9441,12594,12286,10426,20983,10923,9718,13575,11573,9699,12855,8780,6743,7071,6923,5710,3565,306,159,225,3246,8981,11845,13544,12991,12151,10753,10185,9930,7405,10805,12248,12519,10931,15411,11992,15122,15298,13437,11872,18197,10008,14996,12970,12942,9433,14936,13913,13363,10897,13461,15571,13082,11692,10853,20303,22889,16741,16127,19646,15487,23245,21884,21015,15617,17315,18686,15776,20901,17581,19895,16710,13838,10361,21593,12066,16039,26672,23146,18800,21420,13993,21494,25904,19287,21506,22405,16937,24796,35123,19378,25522,19825
anderson cooper,91901,44743,59318,50052,35134,35098,55242,47131,74708,75709,62430,67083,89959,75412,65472,50309,60970,61959,36254,86653,68001,44558,50019,65065,46436,42019,50743,52157,80662,51730,58217,55366,48369,58889,63027,64191,65463,30224,32727,63169,59708,65916,78342,60508,52763,49215,38230,43765,58292,31723,57458,26449,53179,47302,33873,39629,45254,52074,26371,23329,35574,31347,32287,24035,27455,38147,36531,31714,31153,41822,36487,21626,31289,32516,32062,25812,19994,39678,24770,36760,52899,49911,46031,39211,66540,56806,82762,75113,83168,97969,81137,78228,81385,83819,66088,58479,89118,107446,101352,109042,84156,73980,83484,63804,67593,97943,47031,40830,93777,72699,114299,91462,74418,40012,69692,78929,69550,81589,48672,47457,86750,46834,96907,189771,116042,74360,64130
andrea mitchell,12911,12198,11344,13953,4817,6860,10278,12672,7858,13570,10595,9941,12297,12340,15329,11313,12837,11962,14028,17420,9597,13177,10294,9646,16069,12944,15133,13833,14654,13582,9629,11601,15459,14265,18387,12525,17917,13293,8518,12468,9143,13797,8994,11127,13323,12267,6861,9042,11240,8497,11919,11193,9265,9258,15714,14326,15902,10322,9826,11002,10901,10173,14596,11289,8897,10107,15148,6751,14004,14306,11563,7254,10665,15341,12638,12509,11327,11469,16638,10065,12719,12077,15528,11339,14000,12706,14245,15548,22261,11283,14354,14911,10690,12035,12609,10370,14842,14676,18564,14695,18168,11594,20560,18837,12777,11444,10555,11350,13713,12139,11660,14791,13364,11820,12675,11435,12481,15540,8011,8288,12716,11050,13139,13618,14427,12952,15045
andrew levy,9043,6971,7979,8691,4440,2364,10179,10989,9243,11458,12576,6432,10576,10876,12596,10979,13362,13112,16189,13938,13323,8985,16678,16137,8814,14944,14482,14555,15629,15110,14632,13491,9874,10494,12942,10682,14326,18585,13127,13827,14888,13187,12396,11395,9770,13305,10608,9848,10891,11569,13265,11485,13338,10154,8834,9485,4833,12439,11909,10100,7825,10263,12067,11675,8113,11724,5196,8775,10589,9635,6248,7289,9375,6872,7843,10683,7764,7687,4568,11953,7586,5331,5100,7823,8707,9566,8639,3310,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ari melber,189,48,6,117,21,3,453,780,165,2159,1008,672,891,387,216,1305,768,192,2046,1344,1401,899,1904,4577,4623,2543,4649,2517,2850,6722,6136,3387,7001,5079,7691,9293,3839,3474,5711,7448,8500,11179,9986,11041,7640,9587,7315,12017,14699,17015,19001,20555,19249,21019,13576,6601,6244,4537,7787,14091,5443,6791,12440,10270,7094,13557,7320,11355,8721,6187,7433,12731,6488,8990,8050,5426,9108,8623,7038,7305,6641,9617,11807,20701,14867,23100,20543,12920,23858,22344,20841,21877,18460,26393,18836,27638,29218,25028,38311,29202,33967,33875,41693,35589,28143,26070,33194,34301,31730,38065,54760,43742,29767,35011,32747,26963,29827,45492,40102,37323,41593,30406,37649,29432,41915,35898,40080
