date,adam schiff,ainsley earhardt,al sharpton,alex witt,ali velshi,alisyn camerota,anderson cooper,andrea mitchell,andrew levy,ari melber,barack obama,bernie sanders,bill hemmer,bill o'reilly,bob beckel,bret baier,brian kilmeade,brian williams,brianna keilar,brooke baldwin,carol costello,charles krauthammer,chris christie,chris cuomo,chris hayes,chris jansing,chris matthews,chris wallace,christine romans,chuck todd,dana bash,dana perino,david gregory,don lemon,donald trump,ed henry,ed schultz,eric bolling,erin burnett,eugene robinson,fareed zakaria,fredricka whitfield,geraldo rivera,glenn beck,gloria borger,greg gutfeld,greta van susteren,gretchen carlson,harris faulkner,hillary clinton,howard kurtz,jake tapper,jeanine pirro,jeffrey toobin,jesse watters,jim acosta,jim sciutto,joe biden,joe scarborough,john berman,john king,john mccain,jon scott,joy-ann reid,juan williams,karl rove,kate bolduan,katy tur,kimberly guilfoyle,laura ingraham,lawrence o'donnell,lindsey graham,martha maccallum,megyn kelly,michael smerconish,mika brzezinski,mike huckabee,mike pence,mitt romney,nancy pelosi,neil cavuto,new_mitt_romney,newt gingrich,nicolle wallace,old_mitt_romney,paul ryan,piers morgan,poppy harlow,rachel maddow,rick santorum,sanjay gupta,sean hannity,shannon bream,shepard smith,steve doocy,steve kornacki,ted cruz,tucker carlson,willie geist,wolf blitzer
2010-01,411,409,4638,14375,16927,12847,91901,12911,9043,189,167530,1287,14486,60514,3963,15759,16246,3797,4161,4437,1342,9654,306,3,4086,6625,50883,10510,9711,28337,5800,3226,7740,33513,1987,8842,33063,2681,2536,7157,7047,14855,13217,66685,6892,19470,24612,15071,1262,8936,3596,384,57,4470,3,1047,3,33188,21986,3,12583,12060,12249,0,9391,16354,894,6,8800,6176,7048,1328,14118,2759,1089,15082,21907,4894,4476,28145,35908,4429,9880,1323,4170,971,0,741,46712,3896,18454,30994,10814,19882,17163,909,0,2237,14305,26824
2010-02,153,832,2069,7169,20655,7207,44743,12198,6971,48,102878,1734,8570,56083,3093,14760,13710,255,1911,4040,585,9103,24,22,6051,3948,31482,8796,7327,18862,5124,5256,5119,21062,2198,4800,19225,7299,2649,7247,6044,10604,15254,61277,3522,15720,20229,14772,2188,3801,2074,141,885,1824,165,921,15,17129,21830,3,2675,13734,10983,3,7582,8668,1512,465,4344,5380,5474,4414,11799,28458,0,19601,14169,2051,1010,6106,22261,1112,7370,920,1145,3839,30,1512,45562,2816,21194,28463,4325,18788,16071,465,0,5807,10802,21589
2010-03,24,1177,3421,7857,22042,5957,59318,11344,7979,6,94243,1152,13741,53116,3338,19202,14406,362,8309,5757,807,11796,45,3,7398,3,41527,9918,14276,25239,16467,6750,4829,21670,3956,9552,37876,1991,1812,3841,4381,16281,14722,66123,5298,14932,23394,13091,1549,3876,1833,219,312,2802,3,4576,0,12919,22620,9,4545,14727,10185,0,9343,19596,3055,3,4154,10031,32279,4643,17025,40471,1884,21195,17831,7482,10608,19698,43450,10758,2095,1008,10057,6760,0,1323,48931,5145,10539,31211,4549,21222,17351,900,0,2070,11072,23243
2010-04,36,834,8349,13856,29552,5169,50052,13953,8691,117,78310,1758,11861,39035,3397,11810,14565,400,2209,3572,1233,11044,1554,6,6888,48,59068,16236,13251,21865,5373,4941,8273,20868,8491,6394,44117,5852,3862,7158,4923,7116,11407,59954,4134,20562,25664,17460,5947,3435,2106,138,210,5787,27,5293,0,2876,24017,9,12238,10924,11447,0,16527,11881,1708,6,7874,19301,6455,2142,14679,34594,1527,23270,19086,2152,2432,893,34417,2631,7854,51,2589,2611,21,496,47650,2984,22298,34471,8907,21138,12664,564,0,3611,15653,7535
2010-05,30,2919,1845,9111,7551,4656,35134,4817,4440,21,39276,2262,4834,26698,1238,6510,7931,1815,963,3653,564,4778,386,0,3499,0,24899,4907,7849,7885,2067,1023,5864,22790,2055,2357,15169,1009,1248,1830,4354,11881,9236,28885,1317,9920,10921,6811,1196,3757,1008,57,30,2670,0,3938,3,1957,13643,9,10546,3923,6397,0,5786,9110,3151,0,3783,2064,3898,612,5624,13239,1593,10995,10893,2246,45,941,19807,139,3385,6,436,381,9,208,19801,1281,4991,17352,4231,9452,6989,171,0,2484,7786,9504
2010-06,45,205,216,5936,8301,4470,35098,6860,2364,3,55035,603,5445,32968,858,10243,6389,887,945,3147,1586,5227,505,459,7440,9338,36892,7423,8427,12476,5760,3333,4562,9769,1737,2762,14539,1038,1265,3161,4065,10670,8433,32928,3630,6351,12542,8052,4025,700,1485,27,18,6644,0,1910,0,4547,12922,6,10534,5560,6184,0,5777,3154,2593,9,2348,3756,1096,2613,5710,7918,1288,10661,10693,1429,237,557,13511,362,2122,21,523,237,18,263,30017,54,2366,17269,9586,8201,7165,474,0,1029,5292,6735
2010-07,261,1404,8077,8415,15396,12701,55242,10278,10179,453,79211,264,11807,48786,2974,16402,12654,285,4271,465,1077,11470,2637,0,18539,13131,42787,10363,8180,28971,408,10631,7154,28853,3921,6170,29562,4238,1781,12330,6072,16835,10281,79956,4022,19212,22035,11784,1085,3930,2863,288,6468,6252,0,7642,3,7825,11145,3,12232,4753,15060,0,16239,15245,5742,27,2600,20407,18412,2253,16522,29315,7669,18274,13339,4802,327,2542,27211,532,10353,798,1073,2249,24,1623,29077,1380,14089,32015,9400,17073,19787,0,9,3440,11329,7632
2010-08,12,1105,13096,10898,35675,11470,47131,12672,10989,780,61630,717,10773,40969,2847,16152,11513,2938,5002,2190,2989,11620,3348,51,5200,13713,34801,11945,192,32910,264,7879,11387,28512,3298,8040,26705,1654,2511,10140,9367,6867,17446,82560,3076,17147,23770,10363,2275,2558,3001,60,255,3117,0,9306,45,3737,27318,6,14237,10029,9646,876,14643,16656,5357,6,3009,18934,7101,5524,13299,19921,9662,15560,13253,3584,764,1780,38314,833,8312,768,909,693,9,1662,44277,4287,17991,22508,13746,18239,16689,477,0,699,10433,13805
2010-09,24,1542,942,10641,34316,5879,74708,7858,9243,165,87532,1212,12863,54696,1745,13348,15560,1719,1444,1502,978,10772,3346,3,5532,13430,57625,12875,1074,20519,8439,5775,8150,17685,5809,11305,40883,3917,2557,9255,8164,14877,15874,61035,4917,16705,23342,15027,1680,4375,2474,123,384,4797,0,6657,0,11872,18335,33,18511,6126,10187,585,9160,15960,1895,0,5380,6243,12358,5337,14028,27704,1866,15478,10778,7855,1155,2293,29232,1497,13335,858,1771,2845,222,1019,44608,3609,6843,28132,7402,18477,13924,2247,0,2391,15011,11965
2010-10,144,1698,3570,8905,25461,6792,75709,13570,11458,2159,47037,1512,14725,64304,2932,17493,15688,262,1857,11236,2001,10407,1602,24,5290,19884,56542,11309,19753,26065,9213,6705,8616,22874,3576,15293,39884,1704,2639,7414,12929,12518,18084,70199,6651,20069,23682,14672,2890,1667,4245,42,372,5028,8,2802,0,2379,22537,21,19780,1893,13717,2712,24198,22681,4389,0,3729,5180,26610,465,14492,35694,5235,17550,15278,2445,177,4793,30801,423,7250,3817,458,585,33,805,30091,4050,8696,29138,6322,16156,17174,2164,0,1479,15274,19557
